Compound #,InChI Key,label,Cortex_Control,Cortex_Control,Cortex_Control,Cortex_Control,Cortex_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO
279,HEBKCHPVOIAQTA-QWWZWVQMSA-N,Arabitol,3990704,6476492,2445294,3488782,2984210,2999711,2479690,2799706,2546374,3029468,2747542,2149953,2544612,2100290,2229340,2935411,2841327,2905779,2763628,2650901,5281836,3086785,3396646,6087884,2921090,2879219,2951786,2658634,2903074,4374562,2005345,2145723,2655867,2731725,1989835,2387808,3392130,3182320,2546111,3655369,3038988,2630931,3344496,2911972,3157171,2388383,4470770,3622265,2483270,2779433,2301484,2529591,2473061,2489440,2190323,2399346,2409711,2814173,4558670,2456063,2924214,4431690,2964788,3109753,2920821,2725150,2576349,2470045,2534862,2459131,3535993,2431441,2124505,3843385,1807257,2974461,1832841,2315969,2844741,2700244
280,VBUYCZFBVCCYFD-JJYYJPOSSA-N,2-Ketogluconic acid,123558,431505,649896,159363,153782,121903,115751,181047,251564,177818,210440,151348,113593,209617,186470,254653,225682,264214,171464,174021,440420,243215,177969,371979,269338,240811,253485,178692,205151,534863,233037,184118,175779,238188,191738,162248,301247,213720,190353,186329,225579,210297,193022,229205,217049,166831,718692,313096,183347,259043,277104,323368,172899,353274,179818,150179,236383,257817,693076,155212,266473,565295,274281,165219,193941,142736,349007,739221,202003,150642,833032,456901,384925,523949,252717,349242,185496,241183,176103,292557
281,SBJKKFFYIZUCET-JLAZNSOCSA-N,Dehydroascorbic acid,55131440,18467280,326651,74601200,74128040,73122240,33669880,107675176,104905384,56142860,76432816,65663664,73133016,100751760,89051696,84328224,82360344,78371400,90106712,74724840,43908588,94254464,52645532,61866928,485347,97768144,85565128,86103128,86645672,19468276,95346848,102068592,81289696,89756752,100344344,57685916,95514944,88267520,82526096,91305656,98782160,96870976,92386168,103928064,83916440,58428124,115560,109229600,100895480,92831176,113216072,103363552,78183536,118898680,92262752,82367856,79868976,84694656,75397344,48753328,95416944,77645544,114293560,97995056,91946328,74756856,114787880,2891790,76507472,87929256,8770856,112245856,118009104,98158320,101906552,110551824,75193776,63061752,91629232,88631808
282,SIVIZMCKQNFBMT-UHFFFAOYSA-N,D-erythro-Imidazolylglycerol phosphate,283319,655458,555742,448801,389921,275223,285045,400513,431150,268311,454721,245634,232632,288894,445322,341415,303430,363269,377178,378846,409697,567956,748765,278545,1298553,547830,666786,563416,995232,783396,630935,544477,616862,3215592,491888,463658,635696,474535,525982,595052,401505,598923,550295,3135824,630569,442172,685367,736357,472728,622786,563561,598410,445906,697725,536012,448745,415416,584074,628186,658575,509259,511241,2461072,448749,377983,269814,459285,517012,487285,396847,777624,532834,3092582,504279,477219,628504,368660,450295,442839,463046
283,RNBGYGVWRKECFJ-ARQDHWQXSA-N,"D-Fructose 1,6-bisphosphate",150286,46072,29987,32608,19815,71821,101115,230264,209264,88699,556246,949036,372795,154568,1619395,64054,79213,98506,40721,87127,36021,104005,65455,105078,73282,78179,70724,54716,174961,207066,114637,92699,1836830,10545652,1147754,21214,131330,49884,75026,6353,89296,32947,47527,222419,67222,41081,40755,125491,118535,87010,103500,193018,319796,93951,964725,33142,20447,47447,29591,139934,40869,37755,149756,16059,49582,98591,145697,240541,295596,26881,61334,324383,811117,29989,264276,157362,40900,153754,45807,144942
284,ZKLLSNQJRLJIGT-UYFOZJQFSA-N,Fructose-1-phosphate,1355920,1260130,1688217,617754,598863,1267014,878967,2024404,2138096,604648,4215144,5196829,1921794,559898,3422122,565105,650531,657036,536189,815039,890066,743918,805582,1359818,616813,668965,816958,1478029,1455391,2958541,1002490,986617,12398674,7565103,4404652,530210,1308606,565303,1745688,783569,1269576,799510,568223,910781,806277,464977,1434890,1010068,1178799,1190116,1381756,2261954,2256125,951777,3304542,836707,832900,810637,1332835,716958,764556,1293954,1014725,657412,663334,320848,529310,925810,531478,215992,341458,354683,425424,244615,644219,563930,340389,396219,420360,464471
285,FBPFZTCFMRRESA-GUCUJZIJSA-N,Dulcitol,1079802,1222661,1280174,1276770,1221782,939650,1360028,1325658,1187315,1273803,1225304,1120551,1370487,1042057,1384163,822722,1149961,1089219,1290884,1403153,1092895,807424,1190102,1061710,1420173,1402844,1292003,1280952,1567162,902204,1513656,1407780,911850,878267,1434675,1446764,1380700,1321446,753233,1306570,1257696,1299052,1341716,726568,1282074,1486753,1408548,1328042,1531441,1261380,1410378,1421596,1329602,1417630,1373801,1316680,1403452,1487888,1421004,1395968,1513104,1498963,1048923,1305358,1550798,1343329,1385299,1622933,1265284,1464874,1287132,1387706,1007525,1356334,1488790,1121326,1408742,892336,942912,1233520
286,IAJILQKETJEXLJ-RSJOWCBRSA-N,D-Galacturonic acid,1206482,727155,1414256,1305082,1587364,1237900,1270105,1370536,1552977,1567693,214054,210323,1049295,896266,1018484,1082772,1211957,1642827,1551619,2530982,1792446,1923716,1431942,500839,1753786,2480529,2452725,1487521,2418697,1290678,1297506,898068,515083,1580995,1651230,1199151,1359716,1338874,1820056,1663490,1341562,1695780,1552341,1426445,1146808,1243942,1224289,2062930,1156353,1530233,1176028,1493438,175212,1457235,1326573,1409286,1076458,1285403,1295134,1626069,1730417,1185109,973839,1025959,979232,1344816,1478910,1505911,1721429,881526,1098006,1192222,1272517,929592,1190907,2239212,1713802,1228639,1046621,1761799
287,RGHNJXZEOKUKBD-SQOUGZDYSA-N,D-Gluconic acid,527535,591196,816800,517495,341789,412647,353566,376801,428597,470942,509113,421330,444095,640772,597876,462040,517401,600759,397462,363859,487895,544432,409029,775596,356839,344776,476512,527974,379785,574966,382871,480871,757919,958113,377815,345175,631698,456468,430814,722487,427944,415787,555724,639515,426841,298462,1001192,546252,511129,508910,842418,657726,776753,617189,628712,403798,532467,577296,795748,456495,468752,955232,717025,530469,457223,356723,773138,729233,392402,358430,889443,981302,776231,728776,571735,655846,382462,565841,556408,547455
288,AEMOLEFTQBMNLQ-AQKNRBDQSA-N,Glucuronic acid ,365794,317727,514168,352529,321614,365050,362614,304379,328016,395617,331369,415865,397179,293320,344288,276740,306625,350776,325341,338983,299319,366788,272178,380512,276217,321897,345558,395588,334064,313586,328216,317051,697739,471422,344211,319745,421124,287034,413991,395731,312203,279983,256374,372978,283311,299719,319330,391960,340187,389375,349897,442610,378361,330966,395095,301620,370066,390282,331512,259226,306212,357344,399024,293026,307635,270920,351819,426123,281612,229433,244885,331548,327836,213996,291442,399261,297895,371068,266416,367380
289,ZDXPYRJPNDTMRX-GSVOUGTGSA-N,L-Glutamine,69201720,87257432,109080288,76980112,92724512,67839840,59399928,89734848,117515512,320234528,95514952,90089312,99866864,105688560,129907504,90421904,90132976,96072296,92682840,101068680,82821416,118218576,106198128,91354336,119362144,104704136,104813928,118401640,109813328,104635496,121545616,110237560,116186544,125022384,132353280,106805648,117780832,97948952,123787408,107939360,86816432,110015216,88372824,106134328,108453192,63524328,339257600,140585120,91605256,94341464,122814856,117129336,82259552,123086144,119233400,110293080,78912696,107304096,103646224,105469928,133470144,109895400,125158536,101223384,96865504,96786400,126112760,99389520,130615096,95138632,120926304,116770320,436631648,283025888,122956952,157811568,74743520,102443040,97490696,110693760
290,GDLBFKVLRPITMI-UHFFFAOYSA-N,Diazoxide,42995,106930,458929,58615,4053,4471,23449,6608,298.3416748,5386,20758,3859,6603,5189,837426,298.3416748,3982,89567,22104,298.3416748,100231,54674,9404,123734,298.3416748,3095,12248,298.3416748,26385,68945,298.3416748,298.3416748,28795,20858,298.3416748,298.3416748,26323,298.3416748,3799,5594,12853,298.3416748,39502,30251,17942,298.3416748,72846,32083,298.3416748,5016,2983,21191,11627,32957,22676,298.3416748,298.3416748,298.3416748,100741,298.3416748,18191,57745,32446,298.3416748,6170,6897,41588,57935,298.3416748,298.3416748,72562,37852,31740,57928,298.3416748,43104,298.3416748,10286,298.3416748,42781
291,QVWAEZJXDYOKEH-UHFFFAOYSA-N,3-(3-Hydroxyphenyl)propionic acid,80096,91269,892509,69712,71594,64323,58217,67156,77164,53572,83002,5374,57633,62172,71646,68829,80277,84871,74802,68851,38195,78440,64637,74160,3316,5577,6651,51759,44311,14727,38746,7663,64055,3609,38850,4999,40660,7844,51738,35774,71608,54502,13107,9495,26418,3630,124524,3532,12471,8952,44461,5833,38574,46762,42726,8775,43746,36508,70243,43653,54651,85969,7198,52442,41653,42654,7439,190234,45422,44735,85518,40926,43182,79081,6152,82596,7547,50414,47852,6980
292,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,DMSO,7091221,11409550,9244591,8839753,11448351,3945981,6608919,9848893,10969954,10257929,9604966,7062025,9562997,10719216,9093944,9786509,12345681,11665363,8774102,8748025,8539451,15419282,9627065,7130016,9433155,8573862,8931308,12633975,8618480,13651654,21522412,27808862,66029944,14225432,9483279,9104285,12467568,7851907,14639204,16243648,70447635,40451228,8523127,118331168,73504794,83248761,16232818,44089396,13534239,66437679,57676834,10446162,21912340,59155678,75789179,73543917,73526021,13769399,12945266,11670272,117822870,119316663,256988736,84994119,95646384,47020658,102587623,95903528,121188583,122497725,67508244,92780877,134846768,112457309,125741600,124800253,91382954,108392910,111736809,87425386
293,PXGPLTODNUVGFL-YNNPMVKQSA-N,Prostaglandin F2alpha,798757,661803,474952,606525,536272,1042369,545461,886081,1165127,658953,847501,1044554,721196,453189,791532,481694,419428,595219,894866,1194383,389135,649051,1964448,1064021,597863,1266651,1177458,2096561,992791,1154980,754728,1685779,3809411,738825,1343864,463795,592789,596920,2425757,597342,988964,1062923,1224190,705500,1111567,616595,995903,1612640,587027,857086,691178,1600169,416144,839553,771536,604346,636943,1398885,1797215,1313445,1330001,1003092,601070,370255,262825,1001136,828175,987628,2004569,1595487,1944516,1280974,1015636,1326126,2402117,1668647,525442,1260953,1063153,1076645
294,DCXYFEDJOCDNAF-UHFFFAOYSA-N,L-Asparagine,513402,769665,798655,534490,450005,512016,421520,649630,779668,364707,554248,485416,547672,483449,644348,546097,377662,478499,529748,523167,653137,758312,510307,503059,672101,578501,638514,619844,733270,811012,613007,583029,853871,1010730,978156,476828,905423,572273,816293,803098,727454,736289,709027,736017,630937,439882,1331817,866053,586795,633987,723840,731979,619068,701505,918132,642291,609036,597322,806288,516734,648558,918676,781087,647926,535126,475187,821135,1079410,652366,541528,982225,801914,877578,970593,827550,945223,771438,674706,795312,881629
296,FEWJPZIEWOKRBE-UHFFFAOYSA-N,Tartaric acid,49446,254064,380708,44424,77132,86434,57164,105669,107236,70430,94469,119337,108110,108710,124789,94143,96858,93920,70447,98730,183361,80537,57612,272867,66267,73694,94822,115370,81477,210482,104166,102237,132918,125962,126152,77111,99828,83392,101665,82100,56718,63742,51404,69446,62074,59994,238833,79942,92069,89016,123683,107361,81557,91031,118791,81150,85814,107405,251513,69203,66269,210720,75173,77057,52890,65304,121663,269659,70862,51753,446670,120106,123201,247617,110352,94925,85324,92842,88474,89021
297,MBMBGCFOFBJSGT-KUBAVDMBSA-N,Docosahexanoic acid,5911672,4801312,10483342,4479170,5369846,20588158,9753960,11853185,12978991,7456530,6157957,16168159,13397065,10682516,10571539,7491742,10874723,13562825,7215537,9700906,12083790,11327705,5408438,12903937,3153378,5285054,7334268,4847575,5255438,8017745,5532774,4132797,3904883,6013296,4612763,3691408,4755032,6612065,3084303,5541998,5456376,5960484,5137071,4499134,2951155,1972872,8339424,5631566,3291465,2569393,3203138,5327902,3702579,4642424,4905056,4751664,4882116,2283632,6147878,5688656,3878117,6061935,2496068,3376327,2823162,10052241,3061105,7340002,3419125,3810731,6529290,4570524,4888779,9078957,6005173,4919336,4040212,3747820,3313000,8800063
298,ODHCTXKNWHHXJC-GSVOUGTGSA-N,D-Pyroglutamic acid,3673739,6384696,11356712,4017256,3049219,2404942,2577534,4237807,5117814,4383438,4365398,3320790,3328712,3417136,4899704,3913036,5008986,5288388,4610406,4778388,6141666,5187163,3926078,4767714,4581218,4139357,5262068,3968943,4936874,8576140,6304902,4551073,4534986,5139588,5477556,3502279,7990884,4862503,4216034,3996204,4174426,4446314,5530070,4143200,5799349,2919830,9470410,5107866,2616528,3594362,5365155,6773422,4572812,6590142,5238782,3932602,3785081,6350848,8414429,4138661,5548531,7411506,3722356,3531810,3273487,4308784,5250700,10554355,4838700,3260044,13095288,6634436,6624730,9463720,6966776,7360764,4990526,4677590,3756222,5768530
299,SRBFZHDQGSBBOR-SOOFDHNKSA-N,Ribose,225259,1055137,71180,266213,329163,253938,149937,388732,387766,227300,259053,221443,226262,258804,275913,280130,301112,373015,253916,312774,632442,371615,289809,443478,301873,247234,322837,264056,252550,660087,301271,311742,468496,283805,305874,171814,338471,254753,286921,227294,161884,283527,299110,316090,231457,211609,1024053,453512,295507,303097,327811,425742,212907,312004,294128,238631,236372,229031,542536,285491,292116,659028,311825,270380,157994,239186,561392,539575,454253,437569,1267352,491535,473874,1322761,561213,716517,412612,393005,455174,490707
300,PYMYPHUHKUWMLA-LMVFSUKVSA-N,D-Ribose,897066,1443049,1226570,987042,995498,823627,761882,936112,1070263,955714,723643,709140,670380,779114,712712,934536,979650,1216508,805111,975850,1445562,1095727,895605,1402994,622071,929358,973935,839469,877438,982969,646031,748016,790359,831019,722651,793271,1443677,792385,1016059,1319910,961341,883106,958401,1057159,834022,745373,332453,1103870,989419,973510,854665,925681,759218,731963,767057,1018940,943913,1122434,1261505,871407,933239,938838,1221225,942596,923435,783358,1106333,128206,1019220,909426,346008,1306127,891049,802452,862412,1095107,816959,828684,987169,991321
301,XMOCLSLCDHWDHP-IUODEOHRSA-N,Epigallocatechin  ,3391329,5726534,4677867,3204908,3526607,1374786,2337454,5078948,7046340,3851078,5878989,3978748,3745452,7717527,10884088,4852028,9209719,7144252,7222482,3609779,7447223,8721040,6427294,6578574,8176738,6978115,7598556,6685710,6909658,8280590,6220872,7421790,9412340,22009258,16573198,4281721,9351187,6908974,4860788,2860852,3399540,6769680,3460806,29089488,5669841,1842972,14509638,16191842,7855775,9647974,14205164,9350651,5809740,19250296,8661693,2818304,2798083,6288541,7612746,6084834,6001988,9854366,24306682,3489868,6426602,6614488,16219332,13891499,12412456,1829334,25824492,17984500,42929464,5924745,7442416,14847993,2202702,7855406,4800877,7991074
302,DBXNUXBLKRLWFA-UHFFFAOYSA-N,N-(Carbamoylmethyl)taurine,4032034,10064442,9455218,5399557,5811631,4289918,3600186,7499979,7642648,3527904,5082162,3530588,3433400,4776837,4250146,6709164,6225352,7330216,5298925,4036396,9385217,6298206,5403608,11188846,5069916,5547390,6891032,5539147,7331824,15966764,5769675,4362636,5815336,6940028,3584125,5382652,9202366,5762777,5694844,6439780,6809322,6225518,6267835,9399634,5601072,4825619,20073236,11787913,6062411,7756392,7405084,7192256,4426724,7844074,4790792,4693444,6535236,7923567,13855037,6149102,6169180,14358994,9087432,5988522,5695246,3816835,10020644,13272068,5710096,4515852,13565718,6994570,9617794,9177325,5436194,10466944,6909930,5695375,5309416,7699684
303,WBWWGRHZICKQGZ-HZAMXZRMSA-N,Taurocholic acid,14019,35025,21112,22496,30604,19196,14887,50667,37447,23084,43221,33975,30671,24359,30358,36358,33085,36835,38593,35052,17548,33056,65310,46527,32176,30052,36121,100547,31901,50989,48851,87759,87010,55591,43009,17236,40019,13896,68077,27686,24044,30008,28425,40960,22813,3948,55156,82970,25374,74239,76716,41476,49624,73447,33091,17825,53374,36786,79628,38865,57132,38118,68305,62070,37691,45199,30760,70153,67252,54031,129761,65131,71237,124819,50927,80092,53663,76051,14704,45738
304,SUHOOTKUPISOBE-UHFFFAOYSA-N,2-Aminoethyl dihydrogen phosphate,10776614,14141137,13279036,9649121,7043271,3971337,7777962,8661396,11244060,11576301,8881370,5246746,8745917,5953225,13692886,11423882,15136973,14862305,17275696,11207123,14905264,17138019,14379857,12651714,14968530,13751708,13606311,13255646,11940129,15291529,11350635,6842039,12698047,23362022,13212330,11237229,14119029,14797570,13520601,9201488,10165390,12127292,11234088,27076340,14407859,7089394,17248820,16789445,9472630,12678384,11908240,12086983,8725302,13254511,13492149,10142945,7976401,13471094,16310063,12718779,15365470,13851485,23903850,6752618,11369855,12370730,18385198,17635180,18489757,7442250,16139224,13719665,28589952,7671203,11355332,25457750,8695276,15844488,10738930,18450833
305,HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,104603,62198608,52045776,67851376,67857680,41434808,31757836,67000832,80113904,65381592,42375088,47316168,44944156,50972104,55473832,65017288,60699720,55513024,63682148,63529744,54110168,61915696,75104912,46622120,69022,68812288,70143144,84969568,72183464,60989712,70084968,66254496,75329200,86828656,62036448,77475992,60549092,57274368,79590368,70226136,52242480,37797,60264072,99513952,99748,50627328,92578656,119128360,26226,76714824,68027400,93146512,55385572,84823800,59728064,31575,72531848,103123,79260912,84734336,79456176,70884840,86713072,67410776,57278900,39130332,45534292,38967116,52535720,35845060,41406232,34425752,44528192,32024572,50448704,51686676,35909844,46208844,46917976,53324284
306,KIWBPDUYBMNFTB-UHFFFAOYSA-N,Ethyl sulfate,136452,398604,372111,223140,76137,171918,74447,222256,127938,111123,109370,34492,71384,50619,50663,34572,129469,77048,2496478,42581,838843,24774,130969,49514,1056112,41802,90026,71557,165611,98823,938179,137092,111791,321538,348934,443.9641113,108301,1095593,140193,1603862,40384,149928,103282,110327,125066,142438,271437,118823,316355,131741,975539,203834,32493,2160777,106501,131331,116730,332508,561028,240627,80819,628396,180141,141380,171995,55390,323175,337694,34186,18708,600706,333441,151251,793096,328432,60656,898018,33255,4440,146452
307,KCXVZYZYPLLWCC-UHFFFAOYSA-N,Ethylenediaminetetraacetic acid,150270,99552,835963,1000,1000,1000,249168,1000,1000,145361,15825,1000,1376638,1000,21521,1000,1000,1000,1000,1000,26446,3246856,16943,400806,1000,54029,232113,44278,22448,10972,1000,1000,1000,19995690,37885,1000,1000,1000,1000,458022,1000,1000,1000,4130410,1000,1000,29817,136030,1000,95004,15996,1000,1000,20561,3313445,1000,1000,17636,15205,1000,5656439,15460,2584916,16502,1000,1000,17600,27810,14283,592922,326033,20400,8495890,1000,1000,134287,66893,1000,34247,72452
308,UKFXDFUAPNAMPJ-UHFFFAOYSA-N,Ethylmalonic acid,179204,283813,1055041,210891,240911,156599,197730,363252,389078,265613,236413,243968,249604,258154,291194,310984,274750,300748,282675,300894,222026,290098,246085,199946,287156,316678,300147,321766,318293,398907,241420,279990,258287,285988,322369,217464,307184,293834,313622,286724,228311,231467,176740,201792,234084,161861,385080,279398,265742,270184,285319,223086,176473,248741,240758,233650,256312,222696,388727,238938,260743,300063,247985,201305,265154,204878,271174,186218,286440,183459,254848,246197,253602,280524,284362,369528,241199,276679,227074,339943
309,RAJWOBJTTGJROA-QJISAEMRSA-N,Etiocholanedione,183028,186697,132560,200836,534987,223230,298909,699032,106056,91469,239756,319611,699289,188217,254720,1104622,225147,197096,128060,140668,109496,118498,139397,223297,607366,278252,250518,312851,58728,288500,183341,567714,1000,940861,313602,131853,246647,114871,169003,258870,133147,243076,150243,218793,249342,485767,1769281,287991,243330,316505,442933,1249522,659767,291443,580308,240081,1759932,256888,1752820,2339656,327040,1040235,1658088,208153,211511,124721,1000,101370,33596,70840,3830518,525427,1634394,119762,77280,60636,1000,74564,47131,51598
310,VWWQXMAJTJZDQX-UYBVJOGSSA-N,FAD,83357,64011,123445,45103,60845,47246,65637,84571,120392,108669,130100,101687,113688,117392,195644,114288,137039,130541,163774,128311,58942,61856,126904,92395,84102,162659,133158,117973,95752,84174,149176,96064,135354,304762,183865,69438,133033,142753,147779,166964,81707,140948,134200,223381,160135,52471,123339,181275,129329,147427,190592,154776,169126,131233,233609,61869,48375,112791,145024,111992,139457,104759,167124,71081,86729,150519,182422,173154,199044,83808,218372,142151,360405,105470,224310,116579,104247,166083,145714,204695
311,VZCYOOQTPOCHFL-OWOJBTEDSA-L,fumarate,3140465,3683132,3446536,3254863,3020223,2716704,2217846,2736832,2956540,2384586,3527500,2982120,3081812,2984812,3239493,2334016,2855791,3160103,2909314,2919372,2916787,3553689,2575572,2962146,2657215,3134736,3025591,3377574,2988953,3686093,3212804,3552364,4354707,4341404,4241734,2880122,3856467,2265838,3272834,3407690,2810579,2985514,3054346,3406388,2878446,2488020,3181622,3649658,2761630,2753248,3702248,4289778,3881345,3729108,3987143,3111120,3067652,2885850,3937838,2568405,3055640,3637994,3350839,3182429,2769365,3032735,3874926,3704530,3023079,2597244,3017941,3600957,3707206,3284228,3122588,3648051,3166360,3294700,2990818,3998847
312,KSPQDMRTZZYQLM-UHFFFAOYSA-N,N-(2-Furoyl)glycine,15646250,11529093,12441833,14137934,4015423,4308605,15886170,9298767,6304442,13629765,12579982,9578008,12322567,8475273,10196018,9913226,10898966,12205356,10289816,8594427,11998006,10207512,12915647,15290518,11708994,10954968,11014392,10158139,11562377,9959996,8833329,3519750,9535362,5198471,8268686,5768208,13327657,5913080,4056375,4096799,15826214,8749369,14697822,5972680,12485728,6729117,12003955,9935527,4842562,10357514,11640485,10140334,13536421,9304866,11016048,4903080,4730474,11884298,12415570,5362370,11558822,14841286,7750750,4290024,14168872,13584343,11121118,11313033,10905190,6089858,7459010,8583440,5108860,13628505,3527239,9708518,6158284,11142353,3408220,10194903
313,TUHVEAJXIMEOSA-UHFFFAOYSA-N,4-Guanidinobutyric acid,52998904,75925040,82752504,72619936,107591648,98389208,85237152,49208940,230376752,96840888,63679180,81746768,78402592,71927104,107058248,131159888,110307840,34079792,109267280,130773056,88681872,91550912,90675320,78081072,112959368,173562336,190746176,122959208,158608112,167629648,73915664,82588624,81463936,157926368,125098136,131880976,118778872,126276192,126176000,153775968,85674368,141253184,95585440,138740752,108615064,95515632,163007872,192776704,235232352,203520032,119517424,121166848,92627840,128278168,133744920,149030912,143877120,182843968,143236832,168144768,129314400,124639760,53505760,144055456,101827440,146433104,148585376,157816480,144590816,110098712,95214976,64661420,91668496,61962184,117932032,141084624,93246240,115447760,156652448,124481160
314,JBFYFLXEJFQWMU-WDSKDSINSA-N,gamma-Glutamylglutamine,2700594,4196956,7056725,2951701,2998541,1974312,1703678,3375326,4515491,4322816,3533372,3217408,2432291,3254370,3713198,3844300,4241856,3844517,3709154,3342534,3670622,3912372,3079540,3786952,3104609,2771296,3549414,4796850,3642956,5479938,4967900,4380210,3253569,3900581,4027448,3886800,4468692,2865582,3819085,4055314,2906098,3668385,2742759,3246284,3632087,1681521,8131766,5726907,3178317,3584873,5278549,7173226,3714371,4333426,4561909,5131264,4228180,5253126,8259797,4545702,3399045,8050028,4191055,4780604,3580178,1361142,2488365,3016628,2023316,1197359,3486143,2539576,2524767,2462941,2761094,2331123,2286014,2585240,1747229,3078407
315,TZBJGXHYKVUXJN-UHFFFAOYSA-N,"4,5,7-Trihydroxyisoflavone",6709,27863,116.0085815,116.0085815,116.0085815,8270,4672,116.0085815,54257,116.0085815,116.0085815,116.0085815,2149,2345,116.0085815,1983,116.0085815,116.0085815,116.0085815,1496,8900,5764,1770,116.0085815,1160,4300,116.0085815,5050,3134,116.0085815,8776,2019,116.0085815,4214,6980,2754,1969,8204,5755,13247,5242,116.0085815,116.0085815,20219,2128,1762,11679,4896,1781,12811,10312,1557,3044,2271,9007,5493,116.0085815,116.0085815,27535,116.0085815,3872,116.0085815,2315,116.0085815,5771,6133,3831,2737,8872,2052,116.0085815,146713,4703,116.0085815,116.0085815,116.0085815,3735,3905,9723,4069
316,YEJSPQZHMWGIGP-YFKPBYRVSA-N,"L-Glutamic acid, dimethyl ester",590467,846145,688260,742395,1079514,721586,583060,1499914,1697238,765698,1091301,1046262,1094486,1473023,1238800,1099946,1146152,953489,1015364,926095,906496,1069481,1062072,959473,1142397,1202416,960765,1060642,936294,876612,1560393,2035402,771548,1021260,1079066,879603,1166932,966057,1100306,1341808,576616,1260290,958194,1516376,975221,706714,1213381,1630473,1275792,1222585,1720647,1265605,1334522,1587510,1031282,1002050,882760,1205302,1057577,1138744,1332163,1198612,1117459,1347744,958465,745238,1193779,1168588,1268399,1049898,1904582,1431297,1264786,1654493,1589511,1409967,596926,920066,997139,914882
317,RWSXRVCMGQZWBV-WDSKDSINSA-N,Glutathione (reduced),1382295,577906,387179,712609,1072175,3113912,4044474,661159,431183,1368177,1510836,2017956,3638653,1265265,647269,2544520,829946,665105,1192029,579272,575304,446356,352706,1011942,250156,635372,539025,692900,420465,418868,386962,471338,11775427,703925,930491,1012326,610924,628207,1224984,664085,654425,529277,419613,463622,356503,1149099,408281,315759,654929,465957,385038,519642,2467824,364859,1189602,1875027,1498767,433761,498182,351779,335972,392529,458998,537195,562270,886572,653307,665774,603134,2623510,621738,757176,443103,421496,827408,429050,2116526,2514138,2057659,1368816
318,DHCLVCXQIBBOPH-UHFFFAOYSA-N,Glycerol-2-phosphate,511334,1645432,2469131,519611,871600,377077,275709,848544,1206471,806393,991106,847632,768175,1130302,1186687,1067027,1054804,982721,759768,621643,1453850,971120,873678,1875669,1137109,600188,636542,1057887,588976,1099361,873786,1274210,980779,1415712,1281270,652757,1012327,947827,1038040,896677,951927,1486034,874161,1974367,1202234,363549,2156379,1189498,1399188,1260262,3115169,1497692,3117640,3499261,1477279,1163737,1332831,1536232,2131737,1228626,1265228,2604404,2072592,1270072,1438211,455331,1239280,1693805,720440,366665,2638643,1459436,1829199,1456097,1112314,889245,1023868,827724,718914,1072263
319,FFDGPVCHZBVARC-UHFFFAOYSA-N,"N,N-Dimethylglycine",72255,169123,224665,101110,110644,129084,102442,221886,261506,122352,82973,79498,89872,64264,111033,125586,148060,157802,120505,139041,178218,126594,91409,155887,132007,219851,277527,142769,228182,424701,84141,79523,136094,184741,120986,99850,181655,147713,131854,168142,150938,159249,114116,170435,137802,109456,518298,259173,295173,285553,157905,162118,152979,188638,194056,161336,185807,262188,376822,202830,145712,345403,170927,167251,125868,167610,276369,493784,145432,115302,199735,89082,117559,152116,132856,268014,172441,153966,185232,196051
