Compound #,InChI Key,label,Cortex_Control,Cortex_Control,Cortex_Control,Cortex_Control,Cortex_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO
22,FRJIAZKQGSCKPQ-FSPLSTOPSA-N,His-Ala,17026,35152,1000,1000,24533,17681,15807,19432,82023,1000,143682,104247,174728,1000,342000,70903,65382,18663,78589,1000,1000,1000,1000,1000,47353,31173,24174,459703,24919,21756,47448,142044,1240750,1944975,495334,115644,186312,40564,50357,75279,51471,1000,1000,111098,58554,1000,103569,41768,22355,79142,152733,1000,181160,38495,765606,40858,42985,59379,50994,77549,42676,50019,122714,58295,16785,18099,20247,23484,34264,21579,31443,36650,581062,56378,50013,32536,27001,102835,1000,248471
23,FRYULLIZUDQONW-IMJSIDKUSA-N,Asp-Asp,334386,422636,575729,284382,337056,355397,316575,374972,503618,352940,317933,330437,284654,309126,380467,428386,448875,474355,382633,358217,371865,393958,290686,378181,296017,385021,407258,417154,453341,464040,354339,298700,636558,499006,404450,375886,468082,404013,414637,415212,404670,475197,371733,487857,451243,311994,570752,590503,511932,513697,455024,516390,400087,490482,508192,456475,482462,571077,595239,397170,370753,565495,437846,400086,393552,345615,487203,558468,360658,212005,444294,367269,405921,232363,398506,508437,431539,456648,405958,495953
24,FSQQTNAZHBEJLS-UPHRSURJSA-N,Maleamic acid,31658,78230,1360649,75167,55830,54162,109802,52214,41053,55374,81661,33855,54837,34203,66417,65630,52947,53536,66627,48861,86603,206488,52415,47322,226041,83965,74324,110856,93489,88777,84238,87159,73926,116534,215645,56253,74168,111997,78042,90076,71444,69684,64378,79611,58523,72456,111849,87606,80157,75165,107736,92886,102845,76514,134084,49278,75504,69680,57388,99476,96463,79200,78427,91641,70879,59648,133847,1197940,84532,81145,55401,76424,81423,39551,68638,86513,110524,86661,96615,86984
25,GACTWZZMVMUKNG-SLPGGIOYSA-N,Sorbitol-6-phosphate,36667,98694,166431,48965,62739,55457,36536,79148,106519,63376,45943,41490,40043,37298,54209,78981,80359,92714,73550,73571,89123,92189,63052,88399,70083,66724,76854,85513,74455,101727,52061,44756,71190,78500,71497,48750,95108,77179,77122,92809,64747,73233,44968,71617,57125,31732,182110,81622,62669,67710,53200,54895,30465,57758,59416,72837,68932,71323,129943,50561,71497,151225,86563,68905,59463,57852,123208,211198,94725,29636,100185,68654,73391,49989,82251,142499,92212,88228,92724,105340
26,GCWCVCCEIQXUQU-UHFFFAOYSA-N,alpha-Hydroxyhippuric acid,40607,228597,358238,19899,19053,31654,20046,24579,12522,14118,8996,11906,6951,2375,9635,4884,9996,30973,3847,26786,138104,39052,25673,98028,40451,13023,27628,19384,25560,141523,24771,12516,2202,9619,4559,1622,30167,12643,8508,11180,12572,25936,39163,30373,55766,18154,179371,51081,16577,37439,27841,12068,3006,26565,3980,6667,138.2408813,47607,160838,35184,23701,201097,27878,16370,7506,13267,11071,122980,8424,1682,99197,16927,15503,87471,7936,31139,8363,9500,10263,12587
27,GFYLSDSUCHVORB-FCKMSMMTSA-N,1-Methyladenosine,10693032,15133576,16643834,17845266,18252768,11884961,9007207,21350938,24510604,16775944,20588448,19132372,18652144,27290122,25744796,24419552,22706586,22420484,21192410,23236852,15309095,20616670,21452772,14558821,19570964,18194072,18600814,28515226,18648656,19484518,26401608,29716156,20776948,34008184,26188008,20852976,27068338,23066140,23408884,33902552,14467045,25805520,17848784,28073248,23847748,11289750,21547024,25872276,19442288,18850696,29237796,27870168,16472340,47535048,21167350,21694448,21994464,29386704,25065280,27087076,26694984,25428612,32039930,20722806,18036984,17132816,22089618,19204422,24867938,13216935,39074756,29862656,47464900,26524708,27221148,30880288,13533699,21535360,21967882,26904158
28,GLEOIKLQBZNKJZ-WDSKDSINSA-N,Pro-Asp,1917528,6976006,8751868,2175996,2757449,1771196,1311855,3727368,4221464,2656219,3641679,2265228,2362754,3637140,3949109,3774542,4089710,4161227,3993598,2973660,5216752,3627398,2692391,6003508,2620302,3458583,3804158,4188128,4355962,9075981,4782590,3446388,5082416,5973970,4123434,3397276,4897927,3735660,3324893,4575139,3581863,3244779,2718971,3664879,4058033,2199379,15062213,5324498,2695375,3417462,5347878,6077405,2858507,6178982,4830574,3244258,4140439,4895027,10834899,3519332,3724265,8726408,3757854,2968957,3002968,2484296,6249926,13104413,3771347,1819940,15464421,5782896,7884867,6689134,5374496,6792281,4992415,4251658,2866646,7026782
29,GNISQJGXJIDKDJ-UHFFFAOYSA-N,O-Succinyl-L-homoserine,3061968,2858824,799589,1124085,956843,3401934,3272141,7236137,9156067,914186,7074188,3063391,3951800,1198897,8011978,1348265,1859071,1246106,1118507,1100366,2796680,2526010,2491590,6299781,1973200,2097218,2394655,1239032,4592834,8242704,1348724,1290550,658981,13363352,7033912,564717,2685842,1212600,3333874,1128736,4664620,1311392,1108406,1654233,871390,552456,2351392,1372208,1392501,1520036,2316020,3144176,15136249,4309293,16488536,1174484,953566,882010,1442764,790737,2035883,2045996,1425448,921838,1068077,2921242,2005317,1692588,3020488,1142024,5046002,2920400,3435368,3111539,4021729,3116582,1178248,1566492,3207618,2229196
30,GUBGYTABKSRVRQ-QKKXKWKRSA-N,Lactose B,49223,45080,37401,29261,56119,48473,33759,104587,97148,39184,66337,85638,62688,60003,28986,21359,84388,35476,89244,71498,30299,38708,53198,105268,24810,51699,41385,124830,49470,76754,72076,233679,199929,59411,95830,12795,52356,18426,62544,38849,21071,32221,12056,33016,29094,13903,21489,43316,18456,79331,91286,103607,72423,94829,24431,24026,30772,121668,49987,83303,12915,88486,19674,7467,2140,15614,19947,9990,20200,10190,42730,32378,18998,24903,41429,13125,16640,24358,9553,21854
31,GVUVRRPYYDHHGK-VQVTYTSYSA-N,Proline Threonine dipeptide,644083,422367,741969,763638,792344,965579,636965,845846,1584778,939002,1718872,1821674,2005653,702740,3146524,1642239,1756714,1024585,2552654,1000200,501124,679465,720043,1125532,1341221,1942635,1924887,7981558,2351228,4869982,3884746,4186320,11966492,11627258,7184046,6554563,4069532,2310631,4816222,3880741,1977993,1617165,1122776,3756986,605856,953027,2911557,3052876,2068247,1300312,3016906,1657656,2707515,2643144,6853478,3160279,3673036,5074858,3623592,4695372,1382412,1374318,3756744,2065024,1763033,588145,2342920,2398495,1647298,996695,2381437,2264299,4959438,1550557,2319751,1534138,2979890,4073563,1624307,10069316
32,GXIURPTVHJPJLF-UWTATZPHSA-N,D-2-Phosphoglyceric acid,352372,760025,1876882,248779,375459,428076,504666,123715,124300,435354,22887,9261,14492,90822,82809,388523,633272,524530,559684,431682,588758,480578,337717,725116,34413,65719,106134,17647,20944,39401,2906,10411,126916,23911,7061,107060,140350,330100,175356,27870,65139,109177,121423,155825,98394,233048,75761,58372,58635,82427,7400,64710,47145,72574,72443,208776,240112,100811,178929,48995,64486,169155,95046,97834,70417,261618,446973,976101,420730,149858,790764,704910,526787,312005,396995,514547,261115,294115,295742,738844
33,HEBKCHPVOIAQTA-NGQZWQHPSA-N,Xylitol,15406,7766,556118,14101,6467,20955,3698,7190,12417,11460,5994,12377,4320,2986,12328,7290,4803,11818,8342,14386,9373,16553,4137,20239,7607,6695,7549,6755,3921,8976,19779,5277,5142,5618,6558,5697,12074,5090,4027,4587,5092,5895,4424,9897,13379,3229,30655,7325,8351,5378,13771,12259,6590,4251,25866,20285,3899,3618,8290,3288,10532,9418,8242,21102,9551,6601,8330,161838,9315,3670,21503,7899,8299,9333,10073,6978,6627,11045,14788,5044
34,HFKJBCPRWWGPEY-BQBZGAKWSA-N,Arg-Glu,1000,16240,1000,1000,459728,1000,1000,581682,694345,484804,1000,578899,1000,1962116,896861,695033,1000,1000,1000,499327,1000,1000,1000,1000,470856,987801,1000,835900,1000,1000,1000,1797514,1000,1000,1894891,305488,1000,480557,674174,1000,1000,557623,1000,1000,1000,400962,1000,17630,1255110,1000,33150,834930,1000,1000,56123,1000,1000,1000,1000,859128,1000,1000,1138693,1000,343430,1000,1000,195891,1000,362299,1000,15841,1000,1000,439791,19663,565992,1000,369882,1000
35,HHRWZMFMIFMUOO-UHFFFAOYSA-N,Inosine 5'-monophosphate,29037262,56030405,43041030,45549566,46128579,37667550,37035251,68939470,96245594,55569651,37782649,36949316,45584341,33945336,81095366,62605160,78340997,67808332,80017196,68255189,64199193,77620333,56797300,52481934,72112098,97878088,89669594,57825250,76713302,80772485,60235421,46377750,52884079,93957048,81129866,67821997,73884806,75229252,52265902,70457669,27768067,66327756,46671602,93066099,65476371,40813402,74437184,82997907,68724602,80435251,57476019,60272316,52120793,47802828,79244837,59253560,48200630,56105968,64309282,67619473,59405834,59234048,79350072,41827880,44999052,72214645,92587586,92335976,75458847,34833835,54541610,49947472,92706062,32414254,59732418,90556784,41638297,71359505,58246202,76452968
